representation	view	split	label	n	accuracy	balanced_accuracy	macro_f1	n_splits
tfidf_char_3_5	context_marker_scope_20	within_lemma	polarity	355	0.7577464788732394	0.45103359173126617	0.45968945351885465	5.0
majority	none	random	evidence	688	0.38808139534883723	0.25	0.13979057591623037	5.0
tfidf_char_3_5	marker_only	random	evidence	688	0.7005813953488372	0.6424780098187187	0.6406710613465398	5.0
tfidf_char_3_5	marker_scope	random	evidence	688	0.6002906976744186	0.5115610644727453	0.5162296260951533	5.0
tfidf_char_3_5	context_only_1	random	evidence	688	0.47674418604651164	0.4199131901628671	0.4286400751254139	5.0
tfidf_char_3_5	context_marker_1	random	evidence	688	0.5784883720930233	0.5105639679987373	0.5193332721088965	5.0
tfidf_char_3_5	context_marker_scope_1	random	evidence	688	0.5348837209302325	0.4732152686665812	0.48493890700185804	5.0
tfidf_char_3_5	context_only_3	random	evidence	688	0.5	0.4489780114628444	0.4562066858471086	5.0
tfidf_char_3_5	context_marker_3	random	evidence	688	0.5450581395348837	0.48504536142815335	0.4942694673049605	5.0
tfidf_char_3_5	context_marker_scope_3	random	evidence	688	0.5392441860465116	0.48850502938052637	0.49802981161485105	5.0
tfidf_char_3_5	context_only_5	random	evidence	688	0.5043604651162791	0.4506529645230556	0.4559445733498788	5.0
tfidf_char_3_5	context_marker_5	random	evidence	688	0.5348837209302325	0.47076821773485517	0.47686793493245105	5.0
tfidf_char_3_5	context_marker_scope_5	random	evidence	688	0.5116279069767442	0.45632248539194314	0.4609688653097195	5.0
tfidf_char_3_5	context_only_10	random	evidence	688	0.4898255813953488	0.43937815877650743	0.4414066180753251	5.0
tfidf_char_3_5	context_marker_10	random	evidence	688	0.5116279069767442	0.4550258785385695	0.4579525530459414	5.0
tfidf_char_3_5	context_marker_scope_10	random	evidence	688	0.5101744186046512	0.45891428515058547	0.4599922613391361	5.0
tfidf_char_3_5	context_only_20	random	evidence	688	0.5072674418604651	0.4635649084386396	0.4665347555276009	5.0
tfidf_char_3_5	context_marker_20	random	evidence	688	0.5116279069767442	0.4658396385554054	0.4681303138478461	5.0
tfidf_char_3_5	context_marker_scope_20	random	evidence	688	0.5072674418604651	0.4632574569321272	0.4653075614468275	5.0
