view	label	accuracy	balanced_accuracy	macro_f1
majority	polarity	0.8183139534883721	0.3333333333333333	0.30002664535038637
prefix_only	polarity	0.8226744186046512	0.4880879185941353	0.5113506540111702
marker_only	polarity	0.8677325581395349	0.5780180200695298	0.6375312982135344
marker_plus_scope	polarity	0.8444767441860465	0.4424920352984296	0.48157445637214424
prefix_plus_marker_scope	polarity	0.8197674418604651	0.48690378597128153	0.5074498099406722
majority	evidence	0.38808139534883723	0.25	0.13979057591623037
prefix_only	evidence	0.5058139534883721	0.4673726706849099	0.4683414213448303
marker_only	evidence	0.7005813953488372	0.6424780098187187	0.6406710613465398
marker_plus_scope	evidence	0.6046511627906976	0.5028733069615571	0.5078389398130257
prefix_plus_marker_scope	evidence	0.501453488372093	0.4633338758948154	0.4646560196655314
majority	function	0.8851744186046512	0.5	0.46954510408635314
prefix_only	function	0.7412790697674418	0.6004863752572177	0.5566239935121358
marker_only	function	0.8444767441860465	0.697335328719004	0.6689079485299739
marker_plus_scope	function	0.8386627906976745	0.5508407640664297	0.5558528116875942
prefix_plus_marker_scope	function	0.7325581395348837	0.5735278834362204	0.5387059629483872
